cod_local; endereco_formatado; lat; lng
01079; AV NOSSA SRA DO SABARA , 0, Sao Paulo, SP ; -23.6586788; -46.6986065 
01100; R. APINAGES, 0, Sao Paulo, SP ; -23.5320854; -46.676357 
01101; R. APINAGES, 0, Sao Paulo, SP ; -23.5320854; -46.676357 
01102; R. AURELIA, 0, Sao Paulo, SP ; -23.5218218; -46.6976656 
01103; R. AURELIA, 0, Sao Paulo, SP ; -23.5218218; -46.6976656 
01104; AV SAO GUALTER, 0, Sao Paulo, SP ; -23.5353307; -46.7132746 
01105; AV. SAO GUALTER, 0, Sao Paulo, SP ; -23.5353307; -46.7132746 
01106; AV. JARDIM JAPAO, 0, Sao Paulo, SP ; -23.4890914; -46.5757217 
01107; AV. JARDIM JAPAO, 0, Sao Paulo, SP ; -23.4890914; -46.5757217 
01108; R. MERE AMEDEA, 515, Sao Paulo, SP ; -23.5093936; -46.5876267 
01109; R. MERE AMEDEA, 515, Sao Paulo, SP ; -23.5093936; -46.5876267 
01110; AV. GUAPIRA, 1310, Sao Paulo, SP ; -23.4750683; -46.5923344 
01111; AV. GUAPIRA, 1310, Sao Paulo, SP ; -23.4750683; -46.5923344 
01112; R. CERRO CORA, 0, Sao Paulo, SP ; -23.5405846; -46.6973004 
01113; R. CERRO CORA, 0, Sao Paulo, SP ; -23.5405846; -46.6973004 
01114; R. CAPIVARI, 0, Sao Paulo, SP ; -23.5499395; -46.6636643 
01115; AV. PROF. FONSECA RODRIGUES, 0, Sao Paulo, SP ; -23.5530504; -46.7094017 
01116; AV. PROF. FONSECA RODRIGUES, 0, Sao Paulo, SP ; -23.5530504; -46.7094017 
01117; R. HEITOR PENTEADO, 0, Sao Paulo, SP ; -23.5500138; -46.6797913 
01118; R. MJ. PALADINO, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
01119; AV. EDU CHAVES, 0, Sao Paulo, SP ; -23.4680073; -46.5740091 
01120; AV. EDU CHAVES, 0, Sao Paulo, SP ; -23.4680073; -46.5740091 
01121; AV. GUSTAVO ADOLFO, 0, Sao Paulo, SP ; -23.4815661; -46.5992913 
01122; AV. GUSTAVO ADOLFO, 0, Sao Paulo, SP ; -23.4815661; -46.5992913 
01123; AV. DR. ANTONIO MARIA LAET, 0, Sao Paulo, SP ; -23.4811124; -46.6045769 
01124; AV. DR. ANTONIO MARIA LAET, 0, Sao Paulo, SP ; -23.4811124; -46.6045769 
01125; AV. CEL. SEZEFREDO FAGUNDES, 0, Sao Paulo, SP ; -23.3728259; -46.5797198 
01126; AV. CEL. SEZEFREDO FAGUNDES, 0, Sao Paulo, SP ; -23.3728259; -46.5797198 
01127; AV. LEONCIO DE MAGALHAES, 0, Sao Paulo, SP ; -23.5000832; -46.6150378 
01128; AV. LEONCIO DE MAGALHAES, 0, Sao Paulo, SP ; -23.5000832; -46.6150378 
01129; AV. AGUA FRIA, 1361, Sao Paulo, SP ; -23.4770132; -46.6203683 
01130; AV. AGUA FRIA, 1361, Sao Paulo, SP ; -23.4770132; -46.6203683 
01131; R. DR. ALBERTO SEABRA, 0, Sao Paulo, SP ; -23.5500495; -46.7114462 
01132; R. DR. ALBERTO SEABRA, 0, Sao Paulo, SP ; -23.5500495; -46.7114462 
01133; AV. RAIMUNDO P. DE MAGALHAES, 17992, Sao Paulo, SP ; -23.4806625; -46.7253209 
01134; AV. RAIMUNDO P. DE MAGALHAES, 17992, Sao Paulo, SP ; -23.4806625; -46.7253209 
01135; AV. RAIMUNDO P. DE MAGALHAES, 0, Sao Paulo, SP ; -23.520372; -46.711487 
01136; AV. RAIMUNDO P. DE MAGALHAES, 0, Sao Paulo, SP ; -23.520372; -46.711487 
