Id Placa;AIT;Data_infracao;Hora_infracao;Cod_enq;Descricao_enq;Cod_local;Descricao_local;Cod_equip;Cod_serie_equip
638;RVA42689982;18/10/2013;09:07:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;7585;AV ARICANDUVA, PROX. R FUNILANDIA (SENTIDO MARG TIETE/S. MATEUS)-FX EXCL ONIBUS;6703;9904040-FX3 
638;RVA42661662;17/10/2013;08:25:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;7585;AV ARICANDUVA, PROX. R FUNILANDIA (SENTIDO MARG TIETE/S. MATEUS)-FX EXCL ONIBUS;6703;9904040-FX3 
638;RVA44185884;18/12/2013;13:51:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7555;AV. ALCANTARA MACHADO, PROX. R.PLACIDINA (SENT BAIRRO/CENTRO) FX 1,2 E 3;6639;9904041-FX2 
638;RVA42494472;10/10/2013;08:28:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7584;AV ARICANDUVA, PROX. R FUNILANDIA (SENTIDO MARG TIETE/S. MATEUS);6702;9904040-FX2 
638;RVA42652868;16/10/2013;08:38:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;7585;AV ARICANDUVA, PROX. R FUNILANDIA (SENTIDO MARG TIETE/S. MATEUS)-FX EXCL ONIBUS;6703;9904040-FX3 
642;SWA10131573;04/11/2013;19:09:00;56732;PARAR SOBRE FAIXA DE PEDESTRES NA MUDANCA DE SINAL LUMINOSO (FISC ELETRONICA);3197;R. TURIASSUAV. POMPEIA (PERDIZES/POMPEIA);8987;22-FX3 
646;BRA19567122;04/10/2013;18:05:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1610;AV. BRASIL, N. 126 -SENTIDO IBIRAPUERA/PINHEIROS;3278;339-FX1 
653;RRA30807731;31/10/2013;17:14:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;7554;AV. ALCANTARA MACHADO, PROX. R.JAIBARAS (SENT. CENTRO/BAIRRO) FX 4 E 5;6579;9904055-FX4 
653;RVA42414193;06/10/2013;12:02:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7529;AV SALIM F MALUF, PROX R FLORINDO BRAS(SENT MARG.TIETE/V.PRUDENTE) FX 4, 5 E 6;6574;9904009-FX5 
653;UVA20585239;20/11/2013;09:48:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4205;AV. VINTE E TRES DE MAIO, SOB VIADUTOPEDROSO, SENTIDO CENTRO/BAIRRO;5109;500006
